energy_production_peak,nbr_on,reserve_primary_up_on_peak,reserve_primary_down_peak,reserve_tertiary2_up_on_peak,reserve_tertiary2_up_off_peak,reserve_tertiary2_down_peak
312.0,6.0,270.0,21.000000000000064,0.0,2160.0,0.0
416.0,8.0,360.0,28.00000000000003,0.0,1980.0000000000002,0.0
416.0,8.0,360.0,28.00000000000003,0.0,1980.0000000000002,0.0
520.0,10.0,449.99999999999994,35.00000000000016,0.0,1800.0000000000002,0.0
491.9999999999994,9.0,381.0000000000007,0.0,0.0,1890.0000000000002,55.49999999999944
584.9999999999994,8.0,191.00000000000045,0.0,0.0,1980.0000000000002,196.9999999999995
359.99999999999864,5.0,125.00000000000138,0.0,0.0,2250.0000000000005,117.4999999999987
186.99999999999997,2.0,7.000000000000021,0.0,0.0,2520.0000000000005,90.0
93.49999999999999,1.0,0.0,0.0,3.5000000000000107,2610.0000000000005,45.0
179.99999999999994,2.0,0.0,0.0,14.000000000000043,2473.000000000001,83.0
76.49999999999999,1.0,0.0,0.0,20.500000000000004,2400.500000000001,28.0
339.5,7.0,315.0,5.4904635558358314e-14,24.499999999999993,818.5,0.0
