energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_up_off,reserve_primary_down_base,Fonction_objectif
6134.999999999999,12.0,721.0,0.0,890.9999999999999,23155416.149500214
6040.0,12.0,654.0,0.0,808.0,23155416.149500214
5957.0,12.0,812.0,0.0,1002.9999999999999,23155416.149500214
5931.0,12.0,902.0,0.0,1114.0,23155416.149500214
5788.0,12.0,1285.0,0.0,1588.0,23155416.149500214
5580.0,12.0,1464.9999999999998,0.0,1810.0000000000002,23155416.149500214
5640.0,12.0,1894.0,0.0,2340.0,23155416.149500214
5862.0,12.0,2074.0,0.0,2562.0,23155416.149500214
5974.0,12.0,2164.0,0.0,2674.0,23155416.149500214
6254.0,12.0,2002.0,388.99999999999994,2954.0,23155416.149500214
6365.0,12.0,1890.999999999999,590.000000000001,3065.0000000000005,23155416.149500214
6834.000000000001,13.0,2109.9999999999986,528.0000000000014,3259.0,23155416.149500214
7611.0,14.0,2021.000000000001,650.0,3761.0,23155416.149500214
7361.000000000001,14.0,2270.9999999999995,571.0000000000006,3511.0000000000005,23155416.149500214
6694.999999999999,13.0,2249.000000000001,275.99999999999903,3120.0,23155416.149500214
6304.999999999999,13.0,2210.0,0.0,2730.0,23155416.149500214
6053.000000000001,13.0,2006.0,0.0,2478.0,23155416.149500214
6137.000000000001,13.0,2074.0,0.0,2562.0000000000005,23155416.149500214
5689.0,13.0,1690.9999999999998,0.0,2089.0,23155416.149500214
5825.0,13.0,1623.0,0.0,2005.0,23155416.149500214
6061.999999999999,13.0,1579.0,0.0,1951.0,23155416.149500214
6226.000000000001,13.0,1465.0,0.0,1810.0,23155416.149500214
6790.0,13.0,856.9999999999999,0.0,1059.0,23155416.149500214
6636.0,13.0,812.0,0.0,1003.0,23155416.149500214
6542.0,13.0,699.0,0.0,864.0,23155416.149500214
6438.0,13.0,767.0,0.0,948.0,23155416.149500214
6345.000000000001,13.0,654.0,0.0,807.9999999999999,23155416.149500214
6530.0,13.0,699.0,0.0,864.0,23155416.149500214
7081.0,13.0,880.0,0.0,1087.0,23155416.149500214
7563.0,13.0,1150.0,0.0,1421.0,23155416.149500214
7759.0,13.0,1185.0,55.0,1532.0,23155416.149500214
7876.0,13.0,1068.0,217.0,1588.0,23155416.149500214
8025.0,13.0,919.0,546.0,1810.0,23155416.149500214
8116.0,13.0,828.0,650.0,1921.0,23155416.149500214
8213.0,13.0,731.0,650.0,2034.0,23155416.149500214
8286.0,13.0,658.0,650.0,2256.0,23155416.149500214
8275.0,13.0,669.0,650.0,2284.0,23155416.149500214
8360.0,13.0,584.0,650.0,2145.0,23155416.149500214
8440.0,13.0,504.0,650.0,2145.0,23155416.149500214
8425.0,13.0,519.0,650.0,1840.0,23155416.149500214
8237.0,13.0,707.0,650.0,1894.0,23155416.149500214
8018.0,13.0,926.0,517.0,1783.0,23155416.149500214
7771.0,13.0,1173.0,90.0,1560.0,23155416.149500214
7612.0,13.0,1150.0,0.0,1421.0,23155416.149500214
7472.0,13.0,1285.0,0.0,1588.0,23155416.149500214
7270.0,13.0,1014.0,0.0,1253.0,23155416.149500214
6888.0,13.0,699.0,0.0,864.0,23155416.149500214
6701.0,13.0,654.0,0.0,807.9999999999999,23155416.149500214
6582.999999999999,13.0,654.0,0.0,807.9999999999999,23155416.149500214
6486.0,13.0,587.0,0.0,725.0,23155416.149500214
6416.0,13.0,631.0,0.0,779.9999999999999,23155416.149500214
6614.0,13.0,677.0,0.0,836.0,23155416.149500214
7189.0,13.0,721.0,0.0,891.0,23155416.149500214
7702.0,13.0,834.0,0.0,1030.0,23155416.149500214
7905.0,13.0,880.0,0.0,1087.0,23155416.149500214
7982.0,13.0,962.0,8.0,1198.0,23155416.149500214
8094.0,13.0,850.0,98.0,1171.0,23155416.149500214
8184.0,13.0,760.0,278.0,1282.0,23155416.149500214
8283.0,13.0,661.0,443.0,1364.0,23155416.149500214
8358.0,13.0,586.0,609.0,1476.0,23155416.149500214
8354.0,13.0,590.0,628.0,1505.0,23155416.149500214
8465.0,13.0,479.0,650.0,1476.0,23155416.149500214
8583.0,13.0,361.0,650.0,1421.0,23155416.149500214
8569.0,13.0,375.0,639.0,1253.0,23155416.149500214
8346.0,13.0,598.0,440.0,1282.0,23155416.149500214
8057.0,13.0,887.0,105.0,1226.0,23155416.149500214
7796.0,13.0,880.0,0.0,1087.0,23155416.149500214
7636.0,13.0,834.0,0.0,1030.0,23155416.149500214
7485.0,13.0,857.0,0.0,1059.0,23155416.149500214
7273.0,13.0,834.0,0.0,1030.0,23155416.149500214
6893.0,13.0,1826.0,0.0,2256.0,23155416.149500214
6704.0,13.0,1984.0,0.0,2451.0,23155416.149500214
6589.0,13.0,1511.0,0.0,1867.0,23155416.149500214
6505.000000000001,13.0,1669.0000000000002,0.0,2062.0,23155416.149500214
6418.0,13.0,1443.0,0.0,1783.0000000000002,23155416.149500214
6591.000000000001,13.0,1691.0,0.0,2089.0,23155416.149500214
7136.0,13.0,1808.0,0.0,2535.0,23155416.149500214
7617.0,13.0,1327.0,0.0,3482.0,23155416.149500214
7084.999999999999,13.0,1859.0000000000005,0.0,3510.0,23155416.149500214
7085.000000000001,13.0,1859.0000000000005,0.0,3510.0,23155416.149500214
7063.5,13.0,1880.5000000000007,0.0,3488.4999999999995,23155416.149500214
7100.0,13.0,1844.0000000000005,0.0,3510.0,23155416.149500214
7085.0,13.0,1858.9999999999998,0.0,3510.0,23155416.149500214
7091.0,13.0,1853.0,0.0,3510.0,23155416.149500214
7093.0,13.0,1850.9999999999998,0.0,3510.0,23155416.149500214
7082.5,13.0,1861.4999999999995,0.0,3507.5000000000005,23155416.149500214
7109.000000000001,13.0,1835.0000000000002,0.0,3510.0,23155416.149500214
7085.000000000001,13.0,1858.9999999999995,0.0,3510.0,23155416.149500214
7094.999999999999,13.0,1849.0000000000014,0.0,3510.0,23155416.149500214
7085.000000000001,13.0,1858.9999999999998,0.0,3510.0,23155416.149500214
7085.000000000001,13.0,1859.0000000000005,0.0,3510.0,23155416.149500214
7440.0,13.0,1504.0000000000005,0.0,3510.0,23155416.149500214
7466.0,13.0,1478.0,0.0,3509.9999999999995,23155416.149500214
7388.0,13.0,1556.0,0.0,2954.0,23155416.149500214
6949.0,13.0,1240.0,0.0,1532.0,23155416.149500214
6745.0,13.0,1172.0,0.0,1448.0,23155416.149500214
6632.0,13.0,1014.0,0.0,1253.0,23155416.149500214
6534.0,13.0,970.0,0.0,1198.0,23155416.149500214
6462.0,13.0,1038.0,0.0,1282.0,23155416.149500214
6648.0,13.0,1082.0,0.0,1337.0,23155416.149500214
7202.0,13.0,1331.0,0.0,1644.0,23155416.149500214
7704.0,13.0,1240.0,339.0,1951.0,23155416.149500214
