Optim_1,Optim_2,post-traitement,temps_total,temps_lecture_mps,temps_conversion_fast,temps_load_bases,temps_opti1,temps_get_bases,temps_lecture_resultat,temps_creation_ensemble_semaine,temps_heuristique_arrondi,temps_heuristique_dmin,temps_changement_borne,temps_opti2,heure_defaillance_prod,heure_defaillance_fcr_up,heure_defaillance_fcr_down,heure_defaillance_afrr_up,heure_defaillance_affr_down,heure_defaillance_mfrr_up,heure_defaillance_mfrr_down,heure_defaillance_rr_up,heure_defaillance_rr_down,quantite_defaillance_prod,quantite_defaillance_fcr_up,quantite_defaillance_fcr_down,quantite_defaillance_afrr_up,quantite_defaillance_affr_down,quantite_defaillance_mfrr_up,quantite_defaillance_mfrr_down,quantite_defaillance_rr_up,quantite_defaillance_rr_down
3512158383.348668,3551463042.4097013,3576682323.109701,37.81162410000002,8.170009499999992,7.1982318000000305,1.1962522999999692,3.2059663,1.2853688999999804,1.6224753000000192,6.027178899999967,0.22875500000009197,0.05728539999995519,3.520897800000057,4.690021499999943,0,0,0,0,0,0,0,13,0,0.0,0,0,0,0,0.0,0.0,9391.851700419898,0.0
2410656759.795348,2437578519.8905015,2505240910.9905014,39.30144139999993,10.224799399999938,7.179373300000066,1.0626128999999764,3.0814851999999746,1.2332470999999714,1.5774675999999772,5.980857100000094,0.1970398999999361,0.04529969999998684,3.4461346000000503,4.6100393000000395,0,0,0,0,0,4,0,4,0,0.0,0,0,0,0,1331.6453130599914,0.0,2934.0,0.0
2948382251.7046804,2960512828.0409203,2995397898.3409204,38.89836700000001,10.347313500000041,7.227536299999997,1.1004991999999447,3.4457065000000284,1.4272260000000188,1.660388600000033,5.545407599999976,0.2001592999999957,0.05125569999995605,3.327172399999995,3.9243741999999884,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
4837773537.432304,5086279692.661196,5108220019.161196,40.636650200000076,9.815897500000005,7.335792699999956,1.0537605000000667,4.33921799999996,1.4553743000000168,1.5450564000000213,6.00559219999991,0.24316120000003139,0.0420149000000265,3.444957899999963,4.732732900000087,0,0,0,0,0,6,0,87,0,0.0,0,0,0,0,4814.561208769976,0.0,55664.613747515396,0.0
1274544982.3721814,1362457683.2771194,1400610945.8771193,40.27803699999993,10.34639459999994,7.119204700000068,1.3289801999999327,3.877815499999997,1.3360926999999947,1.560731799999985,5.5322894000000815,0.21043309999993198,0.04907909999997173,3.4549028000000135,4.821619600000076,0,0,0,0,0,0,16,11,24,0.0,0,0,0,0,0.0,6158.412705147997,2321.0,7725.9617809936
2333015862.5838056,2345857440.9150496,2389313674.0150495,38.81691660000001,9.91444679999995,7.348971399999982,1.1382693000000472,3.508972999999969,1.0971752000000379,1.841818099999955,5.514672799999971,0.20460990000003676,0.05592209999997522,3.4023792000000412,4.137687400000004,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
3000830302.14366,3009174899.7366896,3040787686.3366895,36.337176399999976,9.274084700000003,6.513885099999925,1.040975900000035,3.2039777999999615,1.2510804000000917,1.4392106999999896,5.306448599999953,0.23172620000002553,0.04518310000003112,3.38370139999995,3.9735031000000163,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
6492021672.669502,7016636337.008992,7031403554.208992,49.517695300000014,10.077875400000039,7.29480430000001,1.1404201000000285,4.936032399999931,1.44762680000008,1.8076143999999204,7.969102600000042,0.5949534000000085,0.08217530000001716,4.208963400000016,8.529903199999922,15,0,0,0,0,91,0,108,0,68099.89264112139,0,0,0,0,98236.3368445668,0.0,65236.58894644,0.0
2338321544.5773396,2353818027.375565,2398898074.075565,59.80971999999997,30.92789719999996,7.7407956000000695,1.2460254000000077,3.7456412999999884,1.2612228999998933,1.4895854000001236,5.256204999999909,0.23365960000000996,0.041575400000056106,3.102539100000058,4.198797899999818,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1933239602.0998726,1962520507.0685754,2020264082.4685755,35.68699850000007,9.118628199999876,6.65529360000005,1.0360117000000173,3.0298726999999417,1.3305950000001303,1.4566866000000118,5.082599099999925,0.24666849999994156,0.04761920000009923,3.3941388999999162,3.6121478000000025,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
