energy_production,nbr_on,nbr_off_primary,reserve_primary_up_on,reserve_primary_up_off,reserve_primary_down,nbr_off_secondary,reserve_secondary_up_on,reserve_secondary_up_off,reserve_secondary_down,Fonction_objectif
176.0,1.7600000000000002,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
164.0,1.6400000000000001,0.25555555555555554,0.0,23.0,9.0,0.2,0.0,19.0,0.0,2629400.0
111.0,1.11,0.21111111111111114,0.0,19.000000000000004,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
136.0,1.36,0.23333333333333334,0.0,21.0,9.0,0.18947368421052632,0.0,18.0,0.0,2629400.0
93.0,0.93,0.19999999999999998,0.0,18.0,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
109.0,1.09,0.21111111111111114,0.0,19.000000000000004,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
187.0,1.87,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
311.0,3.11,0.35555555555555557,0.0,32.0,12.0,0.2631578947368421,0.0,25.0,0.0,2629400.0
350.0,3.5,0.37777777777777777,0.0,34.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
368.0,3.68,0.39999999999999997,0.0,36.0,13.0,0.28421052631578947,0.0,27.000000000000004,0.0,2629400.0
453.0,4.53,0.4555555555555556,0.0,41.00000000000001,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
488.0,4.88,0.4777777777777778,0.0,43.0,16.0,0.3368421052631579,0.0,32.0,0.0,2629400.0
530.0,5.300000000000001,0.5111111111111111,0.0,46.0,16.0,0.3473684210526315,0.0,33.0,0.0,2629400.0
613.0,6.13,0.5666666666666667,0.0,51.0,18.0,0.37894736842105264,0.0,36.0,0.0,2629400.0
613.0,6.130000000000001,0.5666666666666667,0.0,51.0,18.0,0.37894736842105264,0.0,36.0,0.0,2629400.0
573.0,5.7299999999999995,0.5333333333333333,0.0,48.0,17.0,0.36842105263157887,0.0,35.0,0.0,2629400.0
565.0,5.6499999999999995,0.5333333333333333,0.0,48.0,17.0,0.36842105263157887,0.0,35.0,0.0,2629400.0
464.00000000000006,4.640000000000001,0.4555555555555556,0.0,41.00000000000001,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
484.0,4.84,0.4777777777777778,0.0,43.0,15.0,0.3263157894736842,0.0,31.000000000000004,0.0,2629400.0
440.99999999999994,4.41,0.4444444444444445,0.0,40.0,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
361.0,3.6100000000000003,0.3888888888888889,0.0,35.0,13.0,0.28421052631578947,0.0,27.000000000000004,0.0,2629400.0
306.0,3.06,0.35555555555555557,0.0,32.0,12.0,0.2631578947368421,0.0,25.0,0.0,2629400.0
367.0,3.6700000000000004,0.39999999999999997,0.0,36.0,13.0,0.28421052631578947,0.0,27.000000000000004,0.0,2629400.0
253.0,2.53,0.3111111111111111,0.0,28.0,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
210.99999999999997,2.11,0.21111111111111114,0.0,19.000000000000004,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
187.0,1.87,0.19999999999999998,0.0,18.0,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
188.0,1.88,0.19999999999999998,0.0,18.0,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
127.0,1.27,0.17777777777777778,0.0,16.0,6.999999999999999,0.15789473684210525,0.0,15.0,0.0,2629400.0
162.0,1.62,0.19999999999999998,0.0,18.0,8.0,0.16842105263157894,0.0,16.0,0.0,2629400.0
194.0,1.9400000000000002,0.21111111111111114,0.0,19.000000000000004,8.0,0.17894736842105263,0.0,17.0,0.0,2629400.0
244.0,2.44,0.22222222222222224,0.0,20.0,9.0,0.18947368421052632,0.0,18.0,0.0,2629400.0
340.0,3.4,0.25555555555555554,0.0,23.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
377.0,3.77,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
468.0,4.680000000000001,0.3,0.0,27.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
446.0,4.46,0.2888888888888889,0.0,26.000000000000004,10.0,0.22105263157894733,0.0,21.0,0.0,2629400.0
518.0,5.18,0.32222222222222224,0.0,29.000000000000004,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
572.0,5.72,0.34444444444444444,0.0,31.0,12.0,0.2526315789473684,0.0,24.0,0.0,2629400.0
641.0000000000001,6.410000000000001,0.3666666666666667,0.0,33.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
639.9999999999999,6.3999999999999995,0.37777777777777777,0.0,34.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
641.0000000000001,6.410000000000001,0.3666666666666667,0.0,33.0,13.0,0.27368421052631575,0.0,26.0,0.0,2629400.0
619.0,6.19,0.35555555555555557,0.0,32.0,12.0,0.2631578947368421,0.0,25.0,0.0,2629400.0
493.0,4.930000000000001,0.3111111111111111,0.0,28.0,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
517.0,5.17,0.32222222222222224,0.0,29.000000000000004,11.0,0.2421052631578947,0.0,23.0,0.0,2629400.0
474.0,4.74,0.3111111111111111,0.0,28.0,11.0,0.23157894736842102,0.0,22.0,0.0,2629400.0
375.0,3.75,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
341.0,3.41,0.25555555555555554,0.0,23.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
352.0,3.5200000000000005,0.26666666666666666,0.0,24.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
330.0,3.3000000000000003,0.25555555555555554,0.0,23.0,10.0,0.21052631578947364,0.0,20.0,0.0,2629400.0
202.0,2.02,0.5666666666666667,0.0,51.0,18.0,0.37894736842105264,0.0,36.0,0.0,2629400.0
225.0,2.25,0.6111111111111112,0.0,55.00000000000001,19.0,0.41052631578947363,0.0,39.0,0.0,2629400.0
155.0,1.55,0.4666666666666667,0.0,42.0,15.0,0.3263157894736842,0.0,31.000000000000004,0.0,2629400.0
179.0,1.79,0.5111111111111111,0.0,46.0,16.0,0.3473684210526315,0.0,33.0,0.0,2629400.0
146.0,1.4600000000000002,0.4444444444444445,0.0,40.0,15.0,0.3157894736842105,0.0,30.0,0.0,2629400.0
182.0,1.82,0.5222222222222223,0.0,47.0,17.0,0.35789473684210527,0.0,34.0,0.0,2629400.0
235.0,2.35,0.6333333333333333,0.0,57.0,20.0,0.4210526315789473,0.0,40.0,0.0,2629400.0
