energy_production,nbr_on,reserve_up,reserve down,Fonction_objectif
400.99999999999943,8.0,184.0,0.0,25332553.10900031
710.9999999999986,14.0,322.0,0.0,25332553.10900031
1326.0000000000005,27.0,621.0,0.0,25332553.10900031
1607.9999999999993,30.0,690.0,0.0,25332553.10900031
1722.9999999999989,30.0,690.0,267.99999999999886,25332553.10900031
2220.0,30.0,690.0,169.0000000000002,25332553.10900031
2203.9999999999995,30.0,690.0,0.0,25332553.10900031
1913.999999999999,30.0,690.0,0.0,25332553.10900031
1706.9999999999998,30.0,690.0,0.0,25332553.10900031
1231.0,25.0,575.0,18.50000000000007,25332553.10900031
967.0000000000007,19.0,437.0,0.0,25332553.10900031
745.9999999999992,15.0,345.0,0.0,25332553.10900031
759.9999999999997,15.0,345.0,0.0,25332553.10900031
496.99999999999955,10.0,230.0,0.0,25332553.10900031
