energy_production_base,nbr_on,reserve_primary_up_on_base,reserve_primary_up_off_base,reserve_primary_down_base,Fonction_objectif
6704.0,13.000000000000002,1984.0000000000002,0.0,2451.0,23133266.53118092
6589.000000000001,13.000000000000002,1511.0,0.0,1867.0,23133266.53118092
6505.000000000001,13.000000000000002,1669.0000000000002,0.0,2062.0,23133266.53118092
6418.000000000001,13.000000000000002,1443.0000000000002,0.0,1783.0000000000002,23133266.53118092
6591.0,13.000000000000002,1691.0,0.0,2088.9999999999995,23133266.53118092
7136.000000000001,13.000000000000002,1808.0000000000025,-2.8635369218561433e-12,2535.0,23133266.53118092
7617.000000000001,13.000000000000002,1327.0000000000018,0.0,3482.0,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3510.0000000000005,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3509.9999999999995,23133266.53118092
7085.000000000001,13.000000000000002,1859.0000000000027,0.0,3510.0000000000005,23133266.53118092
7472.980000000002,13.000000000000002,1471.0200000000013,0.0,3510.0000000000005,23133266.53118092
7508.680000000003,13.000000000000002,1435.3199999999997,0.0,3510.0000000000005,23133266.53118092
7388.0,13.000000000000002,1556.000000000003,-2.8635369218561433e-12,2954.0,23133266.53118092
6949.000000000001,13.000000000000002,1240.0000000000002,0.0,1532.0,23133266.53118092
6745.000000000001,13.000000000000002,1172.0,0.0,1448.0,23133266.53118092
6632.000000000001,13.000000000000002,1014.0000000000001,0.0,1253.0,23133266.53118092
6534.0,13.000000000000002,970.0000000000001,0.0,1198.0,23133266.53118092
6462.0,13.000000000000002,1038.0,0.0,1282.0,23133266.53118092
6648.0,13.000000000000002,1082.0,0.0,1337.0,23133266.53118092
7202.0,13.000000000000002,1331.0,0.0,1644.0000000000002,23133266.53118092
7704.0,13.000000000000002,1240.0000000000023,338.9999999999979,1951.0,23133266.53118092
7909.000000000001,13.000000000000002,1035.0000000000018,649.9999999999983,2145.0,23133266.53118092
8018.0,13.000000000000002,926.0000000000032,649.9999999999983,2367.0,23133266.53118092
8165.0,13.000000000000002,779.0000000000023,649.9999999999983,2535.0,23133266.53118092
8298.000000000002,13.000000000000002,646.0000000000017,649.9999999999983,2924.0,23133266.53118092
8478.000000000002,13.0,466.00000000000085,649.9999999999997,2981.0000000000005,23133266.53118092
8581.0,13.0,363.00000000000233,649.9999999999997,3288.0000000000005,23133266.53118092
8561.0,13.0,383.0000000000013,649.9999999999997,3454.0,23133266.53118092
8256.000000000002,12.0,0.0,1299.9999999999993,3239.9999999999995,23133266.53118092
8256.000000000002,12.0,0.0,1299.9999999999993,3008.0,23133266.53118092
8256.000000000002,12.0,0.0,1299.9999999999993,2674.0,23133266.53118092
8256.000000000002,12.0,0.0,1299.9999999999993,2674.0,23133266.53118092
8190.0,12.0,66.00000000000277,1299.9999999999993,2313.0,23133266.53118092
7878.000000000001,12.0,378.00000000000057,1299.9999999999993,2202.0,23133266.53118092
7746.0,12.0,510.00000000000176,1090.9999999999982,1978.0,23133266.53118092
7692.000000000001,12.0,564.0000000000015,1104.9999999999989,2062.0,23133266.53118092
7540.000000000001,12.0,716.0000000000003,726.9999999999999,1783.0000000000002,23133266.53118092
